Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786414643,50,,Aggregated,5.000000,0.000000,17000,18000,18000,18000,19000,19000,19000,19000,19000,19000,19000,58,0,17000,15790.361522413828,7140.900500000043,18761.171699999977,650.448275862069
1786414644,50,,Aggregated,0.800000,0.000000,17000,17000,18000,18000,19000,19000,19000,19000,19000,19000,19000,73,0,17000,15676.329761643869,7140.900500000043,18761.171699999977,651.054794520548
1786414645,50,,Aggregated,0.800000,0.000000,17000,17000,18000,18000,19000,19000,19000,19000,19000,19000,19000,73,0,17000,15676.329761643869,7140.900500000043,18761.171699999977,651.054794520548
1786414646,50,,Aggregated,0.800000,0.000000,17000,17000,18000,18000,19000,19000,19000,19000,19000,19000,19000,73,0,17000,15676.329761643869,7140.900500000043,18761.171699999977,651.054794520548
1786414647,50,,Aggregated,1.500000,0.000000,17000,18000,18000,18000,18000,19000,19000,19000,19000,19000,19000,107,0,17000,15956.02255981311,7140.900500000043,18761.171699999977,649.4859813084112
1786414648,50,,Aggregated,1.500000,0.000000,17000,18000,18000,18000,18000,19000,19000,19000,19000,19000,19000,107,0,17000,15956.02255981311,7140.900500000043,18761.171699999977,649.4859813084112
1786414649,50,,Aggregated,1.500000,0.000000,17000,18000,18000,18000,18000,19000,19000,19000,19000,19000,19000,107,0,17000,15956.02255981311,7140.900500000043,18761.171699999977,649.4859813084112
1786414650,50,,Aggregated,1.500000,0.000000,17000,18000,18000,18000,18000,19000,19000,19000,19000,19000,19000,107,0,17000,15956.02255981311,7140.900500000043,18761.171699999977,649.4859813084112
1786414651,50,,Aggregated,1.500000,0.000000,17000,18000,18000,18000,18000,19000,19000,19000,19000,19000,19000,107,0,17000,15956.02255981311,7140.900500000043,18761.171699999977,649.4859813084112
1786414652,50,,Aggregated,1.500000,0.000000,17000,18000,18000,18000,18000,19000,19000,19000,19000,19000,19000,107,0,17000,15956.02255981311,7140.900500000043,18761.171699999977,649.4859813084112
1786414653,50,,Aggregated,1.500000,0.000000,17000,18000,18000,18000,18000,19000,19000,19000,19000,19000,19000,107,0,17000,15956.02255981311,7140.900500000043,18761.171699999977,649.4859813084112
1786414654,50,,Aggregated,1.500000,0.000000,17000,18000,18000,18000,18000,19000,19000,19000,19000,19000,19000,107,0,17000,15956.02255981311,7140.900500000043,18761.171699999977,649.4859813084112
1786414655,50,,Aggregated,1.500000,0.000000,17000,18000,18000,18000,18000,19000,19000,19000,19000,19000,19000,107,0,17000,15956.02255981311,7140.900500000043,18761.171699999977,649.4859813084112
1786414656,50,,Aggregated,4.900000,0.000000,17000,18000,18000,18000,18000,19000,19000,19000,26000,26000,26000,116,1,17000,15701.962015517262,7140.900500000043,26437.02179999991,644.0344827586207
1786414657,50,,Aggregated,4.900000,0.000000,17000,18000,18000,18000,18000,19000,19000,19000,26000,26000,26000,116,1,17000,15701.962015517262,7140.900500000043,26437.02179999991,644.0344827586207
1786414658,50,,Aggregated,4.900000,0.000000,17000,18000,18000,18000,18000,19000,19000,19000,26000,26000,26000,116,1,17000,15701.962015517262,7140.900500000043,26437.02179999991,644.0344827586207
1786414659,50,,Aggregated,4.900000,0.000000,17000,18000,18000,18000,18000,19000,19000,19000,26000,26000,26000,116,1,17000,15701.962015517262,7140.900500000043,26437.02179999991,644.0344827586207
1786414660,50,,Aggregated,4.900000,0.000000,17000,18000,18000,18000,18000,19000,19000,19000,26000,26000,26000,116,1,17000,15701.962015517262,7140.900500000043,26437.02179999991,644.0344827586207
1786414661,50,,Aggregated,4.900000,0.000000,17000,18000,18000,18000,18000,19000,19000,19000,26000,26000,26000,116,1,17000,15701.962015517262,7140.900500000043,26437.02179999991,644.0344827586207
1786414662,50,,Aggregated,4.900000,0.000000,17000,18000,18000,18000,18000,19000,19000,19000,26000,26000,26000,116,1,17000,15701.962015517262,7140.900500000043,26437.02179999991,644.0344827586207
