Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/rag/ask,494,6,17000,16518.85897995953,5607.054499999776,37355.999399999746,641.8805668016195,2.848820116635296,0.034601054048201976,17000,18000,19000,20000,21000,23000,28000,28000,37000,37000,37000
,Aggregated,494,6,17000,16518.85897995953,5607.054499999776,37355.999399999746,641.8805668016195,2.848820116635296,0.034601054048201976,17000,18000,19000,20000,21000,23000,28000,28000,37000,37000,37000
